gene-id	gene-symbol	# diseases	# genes
8607	RUVBL1	2	1316
494513	DFNB59	3	70
26353	HSPB8	11	2132
4128	MAOA	43	1844
57586	SYT13	1	104
5981	RFC1	6	939
23385	NCSTN	2	465
56288	PARD3	1	193
9955	HS3ST3A1	1	300
10659	CELF2	4	1972
386653	IL31	4	317
55784	MCTP2	1	76
1141	CHRNB2	13	1252
1155	TBCB	1	552
8011	MROS	1	0
22976	PAXIP1	1	465
788	SLC25A20	1	0
93986	FOXP2	9	872
100101420	MRT12	1	1
64585	BOS2	1	0
6335	SCN9A	12	1118
11326	VSIG4	1	299
11251	PTGDR2	4	666
25833	POU2F3	1	1168
143662	MUC15	2	263
1617	DAZ1	2	347
6048	RNF5	1	1272
490	ATP2B1	4	1595
1843	DUSP1	13	3073
780921	KYPSC1	1	0
84315	MON1A	1	4
1112	FOXN3	1	594
56916	SMARCAD1	2	2
6502	SKP2	24	3913
23365	ARHGEF12	4	1173
1294	COL7A1	16	2307
23022	PALLD	6	928
26258	PLDN	3	22
3451	IFNA17	3	1211
7111	TMOD1	2	1088
407021	MIR29A	3	327
4640	MYO1A	2	33
5225	PGC	8	2264
84456	L3MBTL3	1	108
55247	NEIL3	2	569
8701	DNAH11	6	325
10111	RAD50	7	2468
10544	PROCR	12	1136
27101	CACYBP	4	1023
6510	SLC1A5	3	676
373863	DND1	1	32
781	CACNA2D1	2	49
8029	CUBN	4	86
131450	CD200R1	2	577
3015	H2AFZ	1	1272
791122	KTWS	1	1
1950	EGF	45	4775
128611	ZNF831	1	591
57118	CAMK1D	1	362
65065	NBEAL1	1	325
5578	PRKCA	20	3585
338333	PAPA3	1	0
5327	PLAT	65	2948
11315	PARK7	16	2788
406938	MIR146A	9	2842
8268	IPOX	1	1
54938	SARS2	2	12
56924	PAK6	1	1064
1890	TYMP	23	3283
203286	ANKS6	3	90
100359402	SPG41	1	0
6281	S100A10	5	1334
392255	GDF6	7	13
26277	TINF2	9	671
1146	CHRNG	7	80
89	ACTN3	1	4
246289	DFNA47	1	0
988	CDC5L	1	137
619501	HCC	1	1
132671	SPATA18	1	18
10229	COQ7	1	75
158158	RASEF	1	591
1454	CSNK1E	2	639
114327	EFHC1	4	90
91624	NEXN	3	94
8661	EIF3A	2	1241
3960	LGALS4	1	599
1584	CYP11B1	4	22
10550	ARL6IP5	4	1300
728458	OPN1MW2	2	3
1675	CFD	5	80
649	BMP1	1	38
5527	PPP2R5C	1	161
50715	EJM2	2	13
64332	NFKBIZ	1	150
8793	TNFRSF10D	8	2940
140892	TCPT	1	0
2150	F2RL1	27	3395
642	BLMH	6	715
64393	ZMAT3	1	57
8704	B4GALT2	2	118
23650	TRIM29	1	1064
11279	KLF8	3	1568
8847	DLEU2	1	299
5592	PRKG1	1	75
776	CACNA1D	1	35
10597	TRAPPC2P1	1	1
100034700	AA1	1	0
3738	KCNA3	7	1030
2673	GFPT1	5	571
100322878	SLEB14	2	287
23404	EXOSC2	2	197
55213	RCBTB1	2	238
5625	PRODH	10	2166
25818	KLK5	5	1995
181	AGRP	4	370
412	STS	16	2812
11073	TOPBP1	4	1100
23619	ZIM2	2	71
4933	NYS2	1	0
58497	PRUNE	1	1272
29066	ZC3H7A	2	70
51129	ANGPTL4	9	1874
2893	GRIA4	3	737
130271	PLEKHH2	1	145
26748	GAGE12I	1	299
100170841	C17orf96	1	299
100307123	BCC6	2	67
326	AIRE	9	258
2886	GRB7	9	3044
2543	GAGE1	2	799
8892	EIF2B2	1	4
353088	ZNF429	2	74
5650	KLK7	6	2021
5224	PGAM2	2	1064
6660	SOX5	8	744
7189	TRAF6	4	551
55706	TMEM48	1	106
4287	ATXN3	5	314
29984	RHOD	1	974
5362	PLXNA2	8	618
4481	MSR1	7	1703
1867	DYX1	1	11
407006	MIR221	6	2301
51293	CD320	1	0
7957	EPM2A	2	6
282991	BLOC1S2	1	1168
29114	TAGLN3	1	552
644165	BCRP3	1	94
80224	NUBPL	4	318
2936	GSR	10	1869
388289	C16orf47	1	261
1289	COL5A1	6	52
64377	CHST8	2	486
117156	SCGB3A2	3	365
7159	TP53BP2	2	1004
8111	GPR68	1	1064
841	CASP8	51	4251
25984	KRT23	2	120
29764	DDU	1	0
7869	SEMA3B	3	1048
645345	CHCHD2P9	1	307
246751	SMAR	1	0
54113	VUR	1	11
5548	PRD	1	0
7402	UTRN	3	1480
26228	STAP1	1	195
474	ATOH1	7	2253
2121	EVC	3	6
27115	PDE7B	1	161
3563	IL3RA	3	964
8324	FZD7	2	1537
7552	ZNF711	2	72
100188872	CELIAC10	2	95
100188844	MAFD6	1	0
9497	SLC4A7	2	92
4058	LTK	2	550
2953	GSTT2	2	732
6947	TCN1	4	563
6715	SRD5A1	15	2673
23078	KIAA0564	1	254
54501	CLF	1	0
8745	ADAM23	4	1376
126393	HSPB6	2	119
3489	IGFBP6	4	1313
79846	C7orf63	1	134
7910	PFBI	1	4
619471	PPR3	1	0
79048	SECISBP2	2	32
54908	CCDC99	1	299
4176	MCM7	4	2260
3628	INPP1	1	254
7262	PHLDA2	3	456
126326	GIPC3	1	0
55186	SLC25A36	1	261
152789	JAKMIP1	1	254
100302720	CATC3	1	0
100190790	ADHD5	2	50
928	CD9	12	2792
7274	TTPA	17	657
27035	NOX1	14	2774
1644	DDC	12	1426
10451	VAV3	6	2177
79887	PLBD1	1	111
100190930	IBD16	2	161
4815	NINJ2	1	142
54674	LRRN3	1	46
23252	OTUD3	1	194
3832	KIF11	1	362
3412	IDDM13	2	217
4928	NUP98	5	704
51100	SH3GLB1	3	1388
9563	H6PD	4	256
55654	TMEM127	1	26
11184	MAP4K1	2	1139
9993	DGCR2	3	816
84146	ZNF644	1	0
1655	DDX5	5	1576
